date,visitor,visit_pts,home,home_pts,night_out,result,pt_spread,,,,,,,,
12/20/17,LA Lakers,122,Houston,116,0,0,-6,,,,,,,,
12/20/17,Phoenix,95,LA Clippers,108,1,1,13,,,,,,,,
12/20/17,Utah,79,Okla City,107,0,1,28,,,,,,,,
12/20/17,San Antonio,93,Portland,91,0,0,-2,,,,,,,,
12/21/17,Chicago,112,Cleveland,115,0,1,3,,,,,,,,
12/21/17,Boston,93,New York,102,1,1,9,,,,,,,,
12/21/17,Toronto,114,Philadelphia,109,0,0,-5,,,,,,,,
12/21/17,Memphis,95,Phoenix,97,0,1,2,,,,,,,,
12/21/17,San Antonio,89,Utah,100,0,1,11,,,,,,,,
12/22/17,Washington,84,Brooklyn,119,0,1,35,,,,,,,,
12/22/17,New York,101,Detroit,104,0,1,3,,,,,,,,
12/22/17,LA Lakers,106,Golden State,113,0,1,7,,,,,,,,
12/22/17,LA Clippers,128,Houston,118,0,0,-10,,,,,,,,
12/22/17,Dallas,101,Miami,113,1,1,12,,,,,,,,
12/22/17,Charlotte,104,Milwaukee,109,0,1,5,,,,,,,,
12/22/17,Atlanta,117,Okla City,120,0,1,3,,,,,,,,
12/22/17,New Orleans,111,Orlando,97,0,0,-14,,,,,,,,
12/22/17,Denver,102,Portland,85,0,0,-17,,,,,,,,
12/23/17,Dallas,107,Atlanta,112,0,1,5,,,,,,,,
12/23/17,Chicago,92,Boston,117,0,1,25,,,,,,,,
12/23/17,Milwaukee,106,Charlotte,111,0,1,5,,,,,,,,
12/23/17,Denver,96,Golden State,81,0,0,-15,,,,,,,,
12/23/17,Brooklyn,119,Indiana,123,0,1,4,,,,,,,,
12/23/17,Portland,95,LA Lakers,92,1,0,-3,,,,,,,,
12/23/17,LA Clippers,112,Memphis,115,0,1,3,,,,,,,,
12/23/17,New Orleans,109,Miami,94,1,0,-15,,,,,,,,
12/23/17,Minnesota,115,Phoenix,106,0,0,-9,,,,,,,,
12/23/17,San Antonio,108,Sacramento,99,0,0,-9,,,,,,,,
12/23/17,Philadelphia,86,Toronto,102,0,1,16,,,,,,,,
12/23/17,Okla City,103,Utah,89,0,0,-14,,,,,,,,
12/23/17,Orlando,103,Washington,130,0,1,27,,,,,,,,
12/25/17,Washington,111,Boston,103,0,0,-8,,,,,,,,
12/25/17,Cleveland,92,Golden State,99,0,1,7,,,,,,,,
12/25/17,Minnesota,121,LA Lakers,104,1,0,-17,,,,,,,,
12/25/17,Philadelphia,105,New York,98,1,0,-7,,,,,,,,
12/25/17,Houston,107,Okla City,112,0,1,5,,,,,,,,
12/26/17,Toronto,93,Dallas,98,0,1,5,,,,,,,,
12/26/17,Utah,83,Denver,107,0,1,24,,,,,,,,
12/26/17,Indiana,83,Detroit,107,0,1,24,,,,,,,,
12/26/17,Sacramento,95,LA Clippers,122,1,1,27,,,,,,,,
12/26/17,Orlando,89,Miami,107,1,1,18,,,,,,,,
12/26/17,Chicago,115,Milwaukee,106,0,0,-9,,,,,,,,
12/26/17,Memphis,97,Phoenix,99,0,1,2,,,,,,,,
12/26/17,Brooklyn,97,San Antonio,109,0,1,12,,,,,,,,
12/27/17,Washington,99,Atlanta,113,0,1,14,,,,,,,,
12/27/17,New York,87,Chicago,92,0,1,5,,,,,,,,
12/27/17,Boston,102,Charlotte,91,0,0,-11,,,,,,,,
12/27/17,Utah,101,Golden State,126,0,1,25,,,,,,,,
12/27/17,Dallas,98,Indiana,94,0,0,-4,,,,,,,,
12/27/17,Memphis,109,LA Lakers,99,1,0,-10,,,,,,,,
12/27/17,Denver,125,Minnesota,128,0,1,3,,,,,,,,
12/27/17,Brooklyn,113,New Orleans,128,0,1,15,,,,,,,,
12/27/17,Toronto,107,Okla City,124,0,1,17,,,,,,,,
12/27/17,Cleveland,95,Sacramento,109,0,1,14,,,,,,,,
12/28/17,Houston,98,Boston,99,0,1,1,,,,,,,,
12/28/17,Minnesota,96,Milwaukee,102,0,1,6,,,,,,,,
12/28/17,Detroit,89,Orlando,102,0,1,13,,,,,,,,
12/28/17,Philadelphia,110,Portland,114,0,1,4,,,,,,,,
12/28/17,New York,107,San Antonio,119,0,1,12,,,,,,,,
12/29/17,Indiana,107,Chicago,119,0,1,12,,,,,,,,
12/29/17,Charlotte,111,Golden State,100,0,0,-11,,,,,,,,
12/29/17,LA Clippers,121,LA Lakers,106,-1,0,-15,,,,,,,,
12/29/17,Brooklyn,111,Miami,87,1,0,-24,,,,,,,,
12/29/17,Dallas,128,New Orleans,120,0,0,-8,,,,,,,,
12/29/17,Milwaukee,97,Okla City,95,0,0,-2,,,,,,,,
12/29/17,Phoenix,111,Sacramento,101,0,0,-10,,,,,,,,
12/29/17,Atlanta,98,Toronto,111,0,1,13,,,,,,,,
12/29/17,Houston,103,Washington,121,0,1,18,,,,,,,,
12/30/17,Portland,89,Atlanta,104,0,1,15,,,,,,,,
12/30/17,Philadelphia,107,Denver,102,0,0,-5,,,,,,,,
12/30/17,San Antonio,79,Detroit,93,0,1,14,,,,,,,,
12/30/17,Memphis,128,Golden State,141,0,1,13,,,,,,,,
12/30/17,New York,105,New Orleans,103,0,0,-2,,,,,,,,
12/30/17,Miami,117,Orlando,111,0,0,-6,,,,,,,,
12/30/17,Cleveland,101,Utah,104,0,1,3,,,,,,,,
12/31/17,Brooklyn,105,Boston,108,0,1,3,,,,,,,,
12/31/17,LA Lakers,142,Houston,148,0,1,6,,,,,,,,
12/31/17,Minnesota,107,Indiana,90,0,0,-17,,,,,,,,
12/31/17,Charlotte,98,LA Clippers,106,1,1,8,,,,,,,,
12/31/17,Dallas,116,Okla City,113,0,0,-3,,,,,,,,
12/31/17,Philadelphia,123,Phoenix,110,0,0,-13,,,,,,,,
12/31/17,Memphis,114,Sacramento,96,0,0,-18,,,,,,,,
12/31/17,Chicago,110,Washington,114,0,1,4,,,,,,,,
12/31/17,Dallas,116,Okla City,113,0,0,-3,,,,,,,,
12/31/17,Philadelphia,123,Phoenix,110,0,0,-13,,,,,,,,
12/31/17,Memphis,114,Sacramento,96,0,0,-18,,,,,,,,
12/31/17,Chicago,110,Washington,114,0,1,4,,,,,,,,
1/1/18,Orlando,95,Brooklyn,98,0,1,3,,,,,,,,
1/1/18,Portland,124,Chicago,120,0,0,-4,,,,,,,,
1/1/18,LA Lakers,96,Minnesota,114,0,1,18,,,,,,,,
1/1/18,Milwaukee,127,Toronto,131,0,1,4,,,,,,,,
1/2/18,Portland,110,Cleveland,127,0,1,17,,,,,,,,
1/2/18,Memphis,105,LA Clippers,113,1,1,8,,,,,,,,
1/2/18,San Antonio,100,New York,91,1,0,-9,,,,,,,,
1/2/18,Atlanta,103,Phoenix,104,0,1,1,,,,,,,,
1/2/18,Charlotte,131,Sacramento,111,0,0,-20,,,,,,,,
1/3/18,Cleveland,88,Boston,102,0,1,14,,,,,,,,
1/3/18,Minnesota,97,Brooklyn,98,0,1,1,,,,,,,,
1/3/18,Toronto,124,Chicago,115,0,0,-9,,,,,,,,
1/3/18,Golden State,125,Dallas,122,0,0,-3,,,,,,,,
1/3/18,Phoenix,111,Denver,134,0,1,23,,,,,,,,
1/3/18,Okla City,133,LA Lakers,96,1,0,-37,,,,,,,,
1/3/18,Detroit,104,Miami,111,1,1,7,,,,,,,,
